date,city,total_bikes,active_stations,total_capacity
2026-03-17,Leeds,148,78,779
2026-03-17,Bradford,21,26,198
2026-03-18,Leeds,149,78,779
2026-03-18,Bradford,9,26,198
2026-03-19,Leeds,163,78,779
2026-03-19,Bradford,9,26,198
2026-03-20,Leeds,216,78,779
2026-03-20,Bradford,7,26,198
2026-03-21,Leeds,206,78,779
2026-03-21,Bradford,38,26,198
2026-03-22,Leeds,196,78,779
2026-03-22,Bradford,27,26,198
2026-03-23,Leeds,204,78,779
2026-03-23,Bradford,16,26,198
2026-03-24,Leeds,219,78,779
2026-03-24,Bradford,20,26,198
2026-03-25,Leeds,229,78,779
2026-03-25,Bradford,10,26,198
2026-03-26,Leeds,225,78,779
2026-03-26,Bradford,15,26,198
2026-03-27,Leeds,229,78,779
2026-03-27,Bradford,36,26,198
2026-03-28,Leeds,195,78,779
2026-03-28,Bradford,57,26,198
2026-03-29,Leeds,209,78,779
2026-03-29,Bradford,57,26,198
2026-03-30,Leeds,209,78,779
2026-03-30,Bradford,59,26,198
2026-03-31,Leeds,250,78,779
2026-03-31,Bradford,72,26,198
2026-04-01,Leeds,301,78,779
2026-04-01,Bradford,80,26,198
2026-04-02,Leeds,298,78,779
2026-04-02,Bradford,97,26,198
2026-04-03,Leeds,295,78,779
2026-04-03,Bradford,94,26,198
2026-04-04,Leeds,272,78,779
2026-04-04,Bradford,88,26,198
2026-04-05,Leeds,250,78,779
2026-04-05,Bradford,89,26,198
2026-04-06,Leeds,272,78,779
2026-04-06,Bradford,81,26,198
2026-04-07,Leeds,290,78,779
2026-04-07,Bradford,80,26,198
2026-04-08,Leeds,291,78,779
2026-04-08,Bradford,72,26,198
2026-04-09,Leeds,287,78,779
2026-04-09,Bradford,67,26,198
2026-04-10,Leeds,288,78,779
2026-04-10,Bradford,84,26,198
2026-04-11,Leeds,295,78,779
2026-04-11,Bradford,74,26,198
2026-04-12,Leeds,281,78,779
2026-04-12,Bradford,72,26,198
2026-04-13,Leeds,274,78,779
2026-04-13,Bradford,69,26,198
2026-04-14,Leeds,279,78,779
2026-04-14,Bradford,69,26,198
2026-04-15,Leeds,283,78,779
2026-04-15,Bradford,68,26,198
2026-04-16,Leeds,313,78,779
2026-04-16,Bradford,67,26,198
2026-04-17,Leeds,284,78,779
2026-04-17,Bradford,70,26,198
2026-04-18,Leeds,285,78,779
2026-04-18,Bradford,72,26,198
2026-04-19,Leeds,260,78,779
2026-04-19,Bradford,69,26,198
2026-04-20,Leeds,279,78,779
